Team,Seed,Date,PTS,Opp,Opp_Seed,Result,Round,Region,MP_team,FG_team,FGA_team,FG%_team,x2P_team,x2PA_team,x2P_perc_team,x3P_team,x3PA_team,x3P_perc_team,FT_team,FTA_team,FT_perc_team,PTS_team,FG_opp,FGA_opp,FG_perc_opp,x2P_opp,x2PA_opp,x2P_per_opp,x3P_opp,x3PA_opp,x3P_perc_opp,FT_opp,FTA_opp,FT_perc_opp,PTS_opp
UConn,2,2004-04-03 NCAA,79,Duke,1,W 79-78,National Semi,Phoenix,200,26,52,0.5,20,41,0.488,6,11,0.545,21,32,0.656,79,29,71,0.408,23,49,0.469,6,22,0.273,14,23,0.609,78
Duke,1,2004-04-03 NCAA,78,UConn,2,L 78-79,National Semi,Atlanta,200,29,71,0.408,23,49,0.469,6,22,0.273,14,23,0.609,78,26,52,0.5,20,41,0.488,6,11,0.545,21,32,0.656,79
Georgia Tech,3,2004-04-03 NCAA,67,Oklahoma State,2,W 67-65,National Semi,St. Louis,200,24,49,0.49,17,32,0.531,7,17,0.412,12,16,0.75,67,22,50,0.44,18,35,0.514,4,15,0.267,17,25,0.68,65
Oklahoma State,2,2004-04-03 NCAA,65,Georgia Tech,3,L 65-67,National Semi,East Rutherford,200,22,50,0.44,18,35,0.514,4,15,0.267,17,25,0.68,65,24,49,0.49,17,32,0.531,7,17,0.412,12,16,0.75,67
Syracuse,3,2003-04-07 NCAA,81,Kansas,2,W 81-78,National Final,East,200,30,63,0.476,19,45,0.422,11,18,0.611,10,17,0.588,81,31,71,0.437,27,51,0.529,4,20,0.2,12,30,0.4,78
Kansas,2,2003-04-07 NCAA,78,Syracuse,3,L 78-81,National Final,West,200,31,71,0.437,27,51,0.529,4,20,0.2,12,30,0.4,78,30,63,0.476,19,45,0.422,11,18,0.611,10,17,0.588,81
Syracuse,3,2003-04-05 NCAA,95,Texas,1,W 95-84,National Semi,East,200,32,56,0.571,25,43,0.581,7,13,0.538,24,31,0.774,95,27,63,0.429,17,42,0.405,10,21,0.476,20,32,0.625,84
Kansas,2,2003-04-05 NCAA,94,Marquette,3,W 94-61,National Semi,West,200,38,71,0.535,30,52,0.577,8,19,0.421,10,17,0.588,94,23,74,0.311,20,58,0.345,3,16,0.188,12,18,0.667,61
Texas,1,2003-04-05 NCAA,84,Syracuse,3,L 84-95,National Semi,South,200,27,63,0.429,17,42,0.405,10,21,0.476,20,32,0.625,84,32,56,0.571,25,43,0.581,7,13,0.538,24,31,0.774,95
Marquette,3,2003-04-05 NCAA,61,Kansas,2,L 61-94,National Semi,Midwest,200,23,74,0.311,20,58,0.345,3,16,0.188,12,18,0.667,61,38,71,0.535,30,52,0.577,8,19,0.421,10,17,0.588,94
Maryland,1,2002-04-01 NCAA,64,Indiana,5,W 64-52,National Final,East,200,21,48,0.438,19,39,0.487,2,9,0.222,20,28,0.714,64,20,58,0.345,10,35,0.286,10,23,0.435,2,7,0.286,52
Indiana,5,2002-04-01 NCAA,52,Maryland,1,L 52-64,National Final,South,200,20,58,0.345,10,35,0.286,10,23,0.435,2,7,0.286,52,21,48,0.438,19,39,0.487,2,9,0.222,20,28,0.714,64
Maryland,1,2002-03-30 NCAA,97,Kansas,1,W 97-88,National Semi,East,200,32,70,0.457,25,49,0.51,7,21,0.333,26,35,0.743,97,29,67,0.433,20,44,0.455,9,23,0.391,21,31,0.677,88
Kansas,1,2002-03-30 NCAA,88,Maryland,1,L 88-97,National Semi,Midwest,200,29,67,0.433,20,44,0.455,9,23,0.391,21,31,0.677,88,32,70,0.457,25,49,0.51,7,21,0.333,26,35,0.743,97
Indiana,5,2002-03-30 NCAA,73,Oklahoma,2,W 73-64,National Semi,South,200,25,48,0.521,17,35,0.486,8,13,0.615,15,24,0.625,73,24,66,0.364,22,48,0.458,2,18,0.111,14,18,0.778,64
Oklahoma,2,2002-03-30 NCAA,64,Indiana,5,L 64-73,National Semi,West,200,24,66,0.364,22,48,0.458,2,18,0.111,14,18,0.778,64,25,48,0.521,17,35,0.486,8,13,0.615,15,24,0.625,73
Duke,1,2001-04-02 NCAA,82,Arizona,2,W 82-72,National Final,East,200,30,64,0.469,21,37,0.568,9,27,0.333,13,22,0.591,82,28,71,0.394,24,49,0.49,4,22,0.182,12,19,0.632,72
Arizona,2,2001-04-02 NCAA,72,Duke,1,L 72-82,National Final,Midwest,200,28,71,0.394,24,49,0.49,4,22,0.182,12,19,0.632,72,30,64,0.469,21,37,0.568,9,27,0.333,13,22,0.591,82
Duke,1,2001-03-31 NCAA,95,Maryland,3,W 95-84,National Semi,East,200,31,71,0.437,24,44,0.545,7,27,0.259,26,35,0.743,95,29,66,0.439,22,48,0.458,7,18,0.389,19,27,0.704,84
Maryland,3,2001-03-31 NCAA,84,Duke,1,L 84-95,National Semi,West,200,29,66,0.439,22,48,0.458,7,18,0.389,19,27,0.704,84,31,71,0.437,24,44,0.545,7,27,0.259,26,35,0.743,95
Arizona,2,2001-03-31 NCAA,80,Michigan State,1,W 80-61,National Semi,Midwest,200,30,60,0.5,23,46,0.5,7,14,0.5,13,16,0.813,80,25,61,0.41,23,47,0.489,2,14,0.143,9,14,0.643,61
Michigan State,1,2001-03-31 NCAA,61,Arizona,2,L 61-80,National Semi,South,200,25,61,0.41,23,47,0.489,2,14,0.143,9,14,0.643,61,30,60,0.5,23,46,0.5,7,14,0.5,13,16,0.813,80
Michigan State,1,2000-04-03 NCAA,89,Florida,5,W 89-76,National Final,Midwest,200,33,59,0.559,22,37,0.595,11,22,0.5,12,16,0.75,89,26,60,0.433,20,42,0.476,6,18,0.333,18,22,0.818,76
Florida,5,2000-04-03 NCAA,76,Michigan State,1,L 76-89,National Final,East,200,26,60,0.433,20,42,0.476,6,18,0.333,18,22,0.818,76,33,59,0.559,22,37,0.595,11,22,0.5,12,16,0.75,89
Florida,5,2000-04-01 NCAA,71,North Carolina,8,W 71-59,National Semi,East,200,25,64,0.391,18,36,0.5,7,28,0.25,14,23,0.609,71,20,57,0.351,15,35,0.429,5,22,0.227,14,23,0.609,59
North Carolina,8,2000-04-01 NCAA,59,Florida,5,L 59-71,National Semi,South,200,20,57,0.351,15,35,0.429,5,22,0.227,14,23,0.609,59,25,64,0.391,18,36,0.5,7,28,0.25,14,23,0.609,71
Michigan State,1,2000-04-01 NCAA,53,Wisconsin,8,W 53-41,National Semi,Midwest,200,16,46,0.348,14,32,0.438,2,14,0.143,19,23,0.826,53,15,43,0.349,11,30,0.367,4,13,0.308,7,11,0.636,41
Wisconsin,8,2000-04-01 NCAA,41,Michigan State,1,L 41-53,National Semi,West,200,15,43,0.349,11,30,0.367,4,13,0.308,7,11,0.636,41,16,46,0.348,14,32,0.438,2,14,0.143,19,23,0.826,53
UConn,1,1999-03-29 NCAA,77,Duke,1,W 77-74,National Final,West,200,32,61,0.525,29,53,0.547,3,8,0.375,10,18,0.556,77,23,56,0.411,16,37,0.432,7,19,0.368,21,27,0.778,74
Duke,1,1999-03-29 NCAA,74,UConn,1,L 74-77,National Final,East,200,23,56,0.411,16,37,0.432,7,19,0.368,21,27,0.778,74,32,61,0.525,29,53,0.547,3,8,0.375,10,18,0.556,77
Duke,1,1999-03-27 NCAA,68,Michigan State,1,W 68-62,National Semi,East,200,25,56,0.446,21,43,0.488,4,13,0.308,14,27,0.519,68,26,70,0.371,22,52,0.423,4,18,0.222,6,11,0.545,62
UConn,1,1999-03-27 NCAA,64,Ohio State,4,W 64-58,National Semi,West,200,26,55,0.473,25,49,0.51,1,6,0.167,11,15,0.733,64,23,63,0.365,20,49,0.408,3,14,0.214,9,18,0.5,58
Michigan State,1,1999-03-27 NCAA,62,Duke,1,L 62-68,National Semi,Midwest,200,26,70,0.371,22,52,0.423,4,18,0.222,6,11,0.545,62,25,56,0.446,21,43,0.488,4,13,0.308,14,27,0.519,68
Ohio State,4,1999-03-27 NCAA,58,UConn,1,L 58-64,National Semi,South,200,23,63,0.365,20,49,0.408,3,14,0.214,9,18,0.5,58,26,55,0.473,25,49,0.51,1,6,0.167,11,15,0.733,64
Kentucky,2,1998-03-30 NCAA,78,Utah,3,W 78-69,National Final,South,200,29,57,0.509,24,40,0.6,5,17,0.294,15,17,0.882,78,24,55,0.436,20,41,0.488,4,14,0.286,17,22,0.773,69
Utah,3,1998-03-30 NCAA,69,Kentucky,2,L 69-78,National Final,West,200,24,55,0.436,20,41,0.488,4,14,0.286,17,22,0.773,69,29,57,0.509,24,40,0.6,5,17,0.294,15,17,0.882,78
Kentucky,2,1998-03-28 NCAA,86,Stanford,3,W 86-85 (OT),National Semi,South,225,29,67,0.433,24,52,0.462,5,15,0.333,23,33,0.697,86,27,68,0.397,16,40,0.4,11,28,0.393,20,24,0.833,85
Stanford,3,1998-03-28 NCAA,85,Kentucky,2,L 85-86 (OT),National Semi,Midwest,225,27,68,0.397,16,40,0.4,11,28,0.393,20,24,0.833,85,29,67,0.433,24,52,0.462,5,15,0.333,23,33,0.697,86
Utah,3,1998-03-28 NCAA,65,North Carolina,1,W 65-59,National Semi,West,200,24,54,0.444,19,37,0.514,5,17,0.294,12,22,0.545,65,27,69,0.391,24,46,0.522,3,23,0.13,2,7,0.286,59
North Carolina,1,1998-03-28 NCAA,59,Utah,3,L 59-65,National Semi,East,200,27,69,0.391,24,46,0.522,3,23,0.13,2,7,0.286,59,24,54,0.444,19,37,0.514,5,17,0.294,12,22,0.545,65
Arizona,4,1997-03-31 NCAA,84,Kentucky,1,W 84-79 (OT),National Final,Southeast,225,22,58,0.379,16,45,0.356,6,13,0.462,34,41,0.829,84,30,72,0.417,20,42,0.476,10,30,0.333,9,17,0.529,79
Kentucky,1,1997-03-31 NCAA,79,Arizona,4,L 79-84 (OT),National Final,West,225,30,72,0.417,20,42,0.476,10,30,0.333,9,17,0.529,79,22,58,0.379,16,45,0.356,6,13,0.462,34,41,0.829,84
Kentucky,1,1997-03-29 NCAA,78,Minnesota,1,W 78-69,National Semi,West,200,23,60,0.383,14,37,0.378,9,23,0.391,23,34,0.676,78,27,64,0.422,24,48,0.5,3,16,0.188,12,19,0.632,69
Minnesota,1,1997-03-29 NCAA,69,Kentucky,1,L 69-78,National Semi,Midwest,200,27,64,0.422,24,48,0.5,3,16,0.188,12,19,0.632,69,23,60,0.383,14,37,0.378,9,23,0.391,23,34,0.676,78
Arizona,4,1997-03-29 NCAA,66,North Carolina,1,W 66-58,National Semi,Southeast,200,22,66,0.333,11,37,0.297,11,29,0.379,11,16,0.688,66,23,74,0.311,19,53,0.358,4,21,0.19,8,10,0.8,58
North Carolina,1,1997-03-29 NCAA,58,Arizona,4,L 58-66,National Semi,East,200,23,74,0.311,19,53,0.358,4,21,0.19,8,10,0.8,58,22,66,0.333,11,37,0.297,11,29,0.379,11,16,0.688,66
Kentucky,1,1996-04-01 NCAA,76,Syracuse,4,W 76-67,National Final,Midwest,200,28,73,0.384,16,46,0.348,12,27,0.444,8,13,0.615,76,26,52,0.5,20,37,0.541,6,15,0.4,9,14,0.643,67
Syracuse,4,1996-04-01 NCAA,67,Kentucky,1,L 67-76,National Final,West,200,26,52,0.5,20,37,0.541,6,15,0.4,9,14,0.643,67,28,73,0.384,16,46,0.348,12,27,0.444,8,13,0.615,76
Kentucky,1,1996-03-30 NCAA,81,Massachusetts,1,W 81-74,National Semi,Midwest,200,28,55,0.509,25,46,0.543,3,9,0.333,22,30,0.733,81,29,64,0.453,26,55,0.473,3,9,0.333,13,19,0.684,74
Syracuse,4,1996-03-30 NCAA,77,Mississippi State,5,W 77-69,National Semi,West,200,26,55,0.473,21,43,0.488,5,12,0.417,20,24,0.833,77,26,56,0.464,15,28,0.536,11,28,0.393,6,6,1,69
