Team,Seed,Date,PTS,Opp,Opp_Seed,Result,Round,Region,MP_team,FG_team,FGA_team,FG%_team,x2P_team,x2PA_team,x2P_perc_team,x3P_team,x3PA_team,x3P_perc_team,FT_team,FTA_team,FT_perc_team,PTS_team,FG_opp,FGA_opp,FG_perc_opp,x2P_opp,x2PA_opp,x2P_per_opp,x3P_opp,x3PA_opp,x3P_perc_opp,FT_opp,FTA_opp,FT_perc_opp,PTS_opp
Oregon State,,1949-03-19 NCAA,30,Oklahoma State,,L 30-55,National Semi,West,,11,,,11,,,,,,8,15,0.533,30,17,,,17,,,,,,21,24,0.875,55
Holy Cross,,1948-03-23 NCAA,60,Kansas State,,W 60-54,National 3rd,East,,26,,,26,,,,,,8,13,0.615,60,20,,,20,,,,,,14,26,0.538,54
Kentucky,,1948-03-23 NCAA,58,Baylor,,W 58-42,National Final,East,,23,,,23,,,,,,12,19,0.632,58,15,,,15,,,,,,12,24,0.5,42
Kansas State,,1948-03-23 NCAA,54,Holy Cross,,L 54-60,National 3rd,West,,20,,,20,,,,,,14,26,0.538,54,26,,,26,,,,,,8,13,0.615,60
Baylor,,1948-03-23 NCAA,42,Kentucky,,L 42-58,National Final,West,,15,,,15,,,,,,12,24,0.5,42,23,,,23,,,,,,12,19,0.632,58
Baylor,,1948-03-20 NCAA,60,Kansas State,,W 60-52,National Semi,West,,20,,,20,,,,,,20,25,0.8,60,15,,,15,,,,,,22,26,0.846,52
Kentucky,,1948-03-20 NCAA,60,Holy Cross,,W 60-52,National Semi,East,,25,,,25,,,,,,10,16,0.625,60,19,,,19,,,,,,14,17,0.824,52
Holy Cross,,1948-03-20 NCAA,52,Kentucky,,L 52-60,National Semi,East,,19,,,19,,,,,,14,17,0.824,52,25,,,25,,,,,,10,16,0.625,60
Kansas State,,1948-03-20 NCAA,52,Baylor,,L 52-60,National Semi,West,,15,,,15,,,,,,22,26,0.846,52,20,,,20,,,,,,20,25,0.8,60
Holy Cross,,1947-03-25 NCAA,58,Oklahoma,,W 58-47,National Final,East,,22,76,0.289,22,76,0.289,,,,14,19,0.737,58,15,,,15,,,,,,17,21,0.81,47
Texas,,1947-03-25 NCAA,54,CCNY,,W 54-50,National 3rd,West,,22,,,22,,,,,,10,21,0.476,54,21,,,21,,,,,,8,18,0.444,50
CCNY,,1947-03-25 NCAA,50,Texas,,L 50-54,National 3rd,East,,21,,,21,,,,,,8,18,0.444,50,22,,,22,,,,,,10,21,0.476,54
Oklahoma,,1947-03-25 NCAA,47,Holy Cross,,L 47-58,National Final,West,,15,,,15,,,,,,17,21,0.81,47,22,76,0.289,22,76,0.289,,,,14,19,0.737,58
Holy Cross,,1947-03-22 NCAA,60,CCNY,,W 60-45,National Semi,East,,21,90,0.233,21,90,0.233,,,,18,29,0.621,60,16,,,16,,,,,,13,20,0.65,45
Oklahoma,,1947-03-22 NCAA,55,Texas,,W 55-54,National Semi,West,,21,,,21,,,,,,13,17,0.765,55,21,,,21,,,,,,12,14,0.857,54
Texas,,1947-03-22 NCAA,54,Oklahoma,,L 54-55,National Semi,West,,21,,,21,,,,,,12,14,0.857,54,21,,,21,,,,,,13,17,0.765,55
CCNY,,1947-03-22 NCAA,45,Holy Cross,,L 45-60,National Semi,East,,16,,,16,,,,,,13,20,0.65,45,21,90,0.233,21,90,0.233,,,,18,29,0.621,60
Ohio State,,1946-03-26 NCAA,63,California,,W 63-45,National 3rd,East,,23,,,23,,,,,,17,22,0.773,63,17,,,17,,,,,,11,17,0.647,45
California,,1946-03-26 NCAA,45,Ohio State,,L 45-63,National 3rd,West,,17,,,17,,,,,,11,17,0.647,45,23,,,23,,,,,,17,22,0.773,63
Oklahoma State,,1946-03-26 NCAA,43,North Carolina,,W 43-40,National Final,West,,16,,,16,,,,,,11,22,0.5,43,13,,,13,,,,,,14,21,0.667,40
North Carolina,,1946-03-26 NCAA,40,Oklahoma State,,L 40-43,National Final,East,,13,,,13,,,,,,14,21,0.667,40,16,,,16,,,,,,11,22,0.5,43
UNC,,1946-03-23 NCAA,60,Ohio State,,W 60-57 (OT),National Semi,East,,23,,,23,,,,,,14,29,0.483,60,19,,,19,,,,,,19,30,0.633,57
