,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Team,Date▼,PTS,Venue,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
63,North Carolina,1999-02-27,61,,Duke,L 61-81,,,,,,,,,,,,,,61,,,,,,,,,,,,,81
64,North Carolina,1999-01-27,77,@,Duke,L 77-89,,,,,,,,,,,,,,77,,,,,,,,,,,,,89
65,North Carolina,1998-03-08,83,N,Duke,W 83-68,,,,,,,,,,,,,,83,,,,,,,,,,,,,68
66,North Carolina,1998-02-28,75,@,Duke,L 75-77,,,,,,,,,,,,,,75,,,,,,,,,,,,,77
67,North Carolina,1998-02-05,97,,Duke,W 97-73,,,,,,,,,,,,,,97,,,,,,,,,,,,,73
68,North Carolina,1997-03-02,91,,Duke,W 91-85,,,,,,,,,,,,,,91,,,,,,,,,,,,,85
69,North Carolina,1997-01-29,73,@,Duke,L 73-80,,,,,,,,,,,,,,73,,,,,,,,,,,,,80
70,North Carolina,1996-03-03,84,@,Duke,W 84-78,,,,,,,,,,,,,,84,,,,,,,,,,,,,78
71,North Carolina,1996-01-31,73,,Duke,W 73-72,,,,,,,,,,,,,,73,,,,,,,,,,,,,72
72,North Carolina,1995-03-04,99,,Duke,W 99-86,,,,,,,,,,,,,,99,,,,,,,,,,,,,86
73,North Carolina,1995-02-02,102,@,Duke,W 102-100 (2OT),,,,,,,,,,,,,,102,,,,,,,,,,,,,100
74,North Carolina,1994-03-05,87,@,Duke,W 87-77,,,,,,,,,,,,,,87,,,,,,,,,,,,,77
75,North Carolina,1994-02-03,89,,Duke,W 89-78,,,,,,,,,,,,,,89,,,,,,,,,,,,,78
76,North Carolina,1993-03-07,83,,Duke,W 83-69,,,,,,,,,,,,,,83,,,,,,,,,,,,,69
77,North Carolina,1993-02-03,67,@,Duke,L 67-81,,,,,,,,,,,,,,67,,,,,,,,,,,,,81
78,North Carolina,1992-03-15,74,N,Duke,L 74-94,,,,,,,,,,,,,,74,,,,,,,,,,,,,94
79,North Carolina,1992-03-08,77,@,Duke,L 77-89,,,,,,,,,,,,,,77,,,,,,,,,,,,,89
80,North Carolina,1992-02-05,75,,Duke,W 75-73,,,,,,,,,,,,,,75,,,,,,,,,,,,,73
81,North Carolina,1991-03-10,96,N,Duke,W 96-74,,,,,,,,,,,,,,96,,,,,,,,,,,,,74
82,North Carolina,1991-03-03,77,,Duke,L 77-83,,,,,,,,,,,,,,77,,,,,,,,,,,,,83
83,North Carolina,1991-01-19,60,@,Duke,L 60-74,,,,,,,,,,,,,,60,,,,,,,,,,,,,74
84,North Carolina,1990-03-04,87,@,Duke,W 87-75,,,,,,,,,,,,,,87,,,,,,,,,,,,,75
85,North Carolina,1990-01-17,79,,Duke,W 79-60,,,,,,,,,,,,,,79,,,,,,,,,,,,,60
86,North Carolina,1989-03-12,77,N,Duke,W 77-74,,,,,,,,,,,,,,77,,,,,,,,,,,,,74
87,North Carolina,1989-03-05,86,,Duke,L 86-88,,,,,,,,,,,,,,86,,,,,,,,,,,,,88
88,North Carolina,1989-01-18,91,@,Duke,W 91-71,,,,,,,,,,,,,,91,,,,,,,,,,,,,71
89,North Carolina,1988-03-13,61,N,Duke,L 61-65,,,,,,,,,,,,,,61,,,,,,,,,,,,,65
90,North Carolina,1988-03-06,81,@,Duke,L 81-96,,,,,,,,,,,,,,81,,,,,,,,,,,,,96
91,North Carolina,1988-01-21,69,,Duke,L 69-70,,,,,,,,,,,,,,69,,,,,,,,,,,,,70
92,North Carolina,1987-02-26,77,,Duke,W 77-71,,,,,,,,,,,,,,77,,,,,,,,,,,,,71
93,North Carolina,1987-01-10,85,@,Duke,W 85-77,,,,,,,,,,,,,,85,,,,,,,,,,,,,77
94,North Carolina,1986-03-02,74,@,Duke,L 74-82,,,,,,,,,,,,,,74,,,,,,,,,,,,,82
95,North Carolina,1986-01-18,95,,Duke,W 95-92,,,,,,,,,,,,,,95,,,,,,,,,,,,,92
